"";"KID";"API_NUMBER_SIMPLE";"LATITUDE";"LONGITUDE";"swd_inj_ci"
"13449";1040003646;"15-003-20938";38,192842;-95,3132239;"swd"
"6776";1025762040;"15-003-21373";38,0654465;-95,315641;"swd"
"6777";1025762176;"15-003-21457";38,2035793;-95,3053422;"swd"
"6778";1025762242;"15-003-21495";38,0631602;-95,1071319;"swd"
"9654";1033763279;"15-003-22318";38,1116587;-95,3243067;"swd"
"6779";1025763600;"15-003-22425";38,2994452;-95,1963156;"swd"
"6713";1025715261;"15-003-22460";38,3035509;-95,1993508;"swd"
"1564";1002884173;"15-003-22558";38,1116104;-95,2470645;"swd"
"1565";1002884284;"15-003-22808";38,0388881;-95,408727;"swd"
"8810";1031516433;"15-003-22831";38,1941275;-95,3287061;"swd"
"1566";1002884346;"15-003-22917";38,1732223;-95,2993264;"swd"
"1567";1002884667;"15-003-23384";38,231293;-95,1280502;"swd"
"5368";1006343747;"15-003-23632";38,0728944;-95,3537776;"swd"
"5369";1006343748;"15-003-23633";38,0791678;-95,3440791;"swd"
"1568";1002884850;"15-003-23636";38,0961855;-95,3518527;"swd"
"1569";1002884872;"15-003-23660";38,2274191;-95,1355114;"swd"
"6471";1008352920;"15-003-23739";38,0948026;-95,3542044;"swd"
"1570";1002884987;"15-003-23856";38,1838973;-95,3031097;"swd"
"1571";1002884988;"15-003-23857";38,03893;-95,42661;"swd"
"1572";1002885106;"15-003-24071";38,1054345;-95,3349629;"swd"
"1573";1002885107;"15-003-24072";38,1109676;-95,347872;"swd"
"13182";1039084198;"15-003-24075";38,1114647;-95,3272386;"swd"
"7213";1027629175;"15-003-24222";38,3673955;-95,2842762;"swd"
"7808";1028641852;"15-003-24224";38,22134;-95,204677;"swd"
"7892";1028709083;"15-003-24225";38,2200716;-95,2803168;"swd"
"10381";1035118311;"15-003-24334";38,1076824;-95,3542106;"swd"
"10584";1036040037;"15-003-24364";38,125003;-95,3172587;"swd"
"12667";1037888914;"15-003-24483";38,2558843;-95,2777762;"swd"
"12944";1038341047;"15-003-24578";38,3106287;-95,1550776;"swd"
"16368";1044890750;"15-003-26335";38,298536;-95,1787186;"swd"
"16718";1045036385;"15-003-26431";38,3047907;-95,1457349;"swd"
"14457";1043232412;"15-003-30125";38,22135;-95,16401;"swd"
"6391";1006820124;"15-003-70268";38,2420111;-95,2873687;"swd"
"5497";1006743559;"15-003-71564";38,2109104;-95,1180827;"swd"
"9731";1033776884;"15-003-90529";38,0968011;-95,4791084;"swd"
"10675";1036119084;"15-003-90908";38,2557648;-95,2869012;"swd"
"16799";1045067026;"15-005-19009";39,4883431;-95,369863;"swd"
"15799";1044237889;"15-005-20064";39,4765683;-95,3695592;"swd"
"7214";1027629279;"15-005-20116";39,4643664;-95,0930176;"swd"
"14284";1042907029;"15-007-00140";37,0783533;-98,497584;"swd"
"16214";1044797323;"15-007-00143";37,0129931;-98,5113181;"swd"
"16432";1044912839;"15-007-00148";37,4280931;-98,7348816;"swd"
"16056";1044637130;"15-007-00176";37,2243038;-98,5509518;"swd"
"16155";1044762200;"15-007-00215";37,085763;-98,6437528;"swd"
"15890";1044572933;"15-007-00226";37,0148912;-98,5843269;"swd"
"9059";1031891669;"15-007-00239";37,3704194;-98,368405;"swd"
"16800";1045067027;"15-007-00316";37,225105;-98,7864391;"swd"
"7885";1028647023;"15-007-00318";37,1899153;-98,6077368;"swd"
"16426";1044911197;"15-007-00343";37,0702884;-98,8721282;"swd"
"8296";1030457710;"15-007-00389";37,2512511;-98,9861238;"swd"
"1574";1002885615;"15-007-00495";37,2617369;-98,9498874;"swd"
"16333";1044877499;"15-007-00500";37,0767391;-98,9126957;"swd"
"16216";1044797732;"15-007-00501";37,3195408;-98,8043745;"swd"
"6453";1007395251;"15-007-00509";37,2751466;-98,9193293;"swd"
"6601";1023732202;"15-007-00520";37,1447026;-98,9841902;"swd"
"8267";1030455513;"15-007-00557";37,1240821;-98,4751408;"swd"
"12168";1037041310;"15-007-00558";37,1566949;-98,4754022;"swd"
"6984";1026517781;"15-007-00572";37,1946559;-98,3767166;"swd"
"13105";1038705501;"15-007-00576";37,06426;-98,52985;"swd"
"1576";1002885655;"15-007-00580";37,3351851;-98,4424365;"swd"
"7093";1026641891;"15-007-00581";37,33157;-98,59741;"swd"
"16334";1044877500;"15-007-00965";37,0423066;-98,9146877;"swd"
"15805";1044241196;"15-007-01000";37,2508799;-98,9861195;"swd"
"9588";1033673662;"15-007-01004";37,1510947;-98,4595134;"swd"
"16789";1045061869;"15-007-01015";37,2725366;-98,3498362;"swd"
"11433";1036145556;"15-007-01016";37,0936132;-98,5848365;"swd"
"16416";1044908417;"15-007-01018";37,1809527;-98,5548817;"swd"
"12923";1038338197;"15-007-01021";37,2717372;-98,3977656;"swd"
"1578";1002885737;"15-007-01041";37,2966568;-98,5629059;"swd"
"16424";1044910621;"15-007-01101";37,0256987;-98,6544971;"swd"
"14857";1043978173;"15-007-01171";37,2489967;-98,4274849;"swd"
"9";1001187060;"15-007-01172";37,2445301;-98,4103964;"swd"
"11";1001187359;"15-007-01189";37,2722731;-98,8883412;"swd"
"16420";1044909293;"15-007-01265";37,1539189;-98,5445585;"swd"
"16";1001187690;"15-007-01267";37,1587738;-98,5418969;"swd"
"8435";1030667045;"15-007-01368";37,2247292;-98,9317193;"swd"
"15831";1044247814;"15-007-01376";37,1664214;-98,6533011;"swd"
"19";1001187872;"15-007-01379";37,1664517;-98,6442741;"swd"
"24";1001188197;"15-007-01418";37,1106178;-98,6566482;"swd"
"13266";1039341597;"15-007-01448";37,2868742;-98,9294313;"swd"
"16427";1044911198;"15-007-01477";37,071186;-98,8351569;"swd"
"16620";1044994299;"15-007-01497";37,342475;-98,73303;"swd"
"6514";1008442452;"15-007-01498";37,3315252;-98,7059592;"swd"
"16022";1044629368;"15-007-01509";37,2694294;-98,7872904;"swd"
"1577";1002885727;"15-007-01591";37,2725366;-98,3498362;"swd"
"13595";1040857997;"15-007-01592";37,2616983;-98,3497667;"swd"
"16217";1044797734;"15-007-01608";37,2426722;-98,9396202;"swd"
"13802";1041460051;"15-007-01613";37,139795;-98,3545869;"swd"
"13941";1042082406;"15-007-01625";37,169934;-98,5478898;"swd"
"17";1001187720;"15-007-01627";37,1623254;-98,5094991;"swd"
"13096";1038705025;"15-007-01631";37,125444;-98,5374724;"swd"
"20";1001187884;"15-007-01646";37,1628504;-98,6353114;"swd"
"6555";1020087316;"15-007-01659";37,1483939;-98,7538487;"swd"
"15738";1044216906;"15-007-01662";37,1908754;-98,849457;"swd"
"25";1001188335;"15-007-01690";37,0444181;-98,721435;"swd"
"26";1001188358;"15-007-01693";37,036429;-98,6790399;"swd"
"10";1001187215;"15-007-01706";37,2560817;-98,661163;"swd"
"13";1001187528;"15-007-01767";37,2102294;-98,9257564;"swd"
"18";1001187779;"15-007-01815";37,135436;-98,5297554;"swd"
"15348";1044127488;"15-007-02455";37,2621169;-98,8078404;"swd"
"16462";1044923597;"15-007-03617";37,187474;-98,9832485;"swd"
"16384";1044898748;"15-007-10004";37,1828332;-98,6440568;"swd"
"15625";1044180955;"15-007-10009";37,2567851;-98,4966944;"swd"
"7621";1028139935;"15-007-10012";37,2630754;-98,5750967;"swd"
"6662";1025685890;"15-007-10046";37,3127353;-98,5548473;"swd"
"15686";1044195814;"15-007-10064";37,3560692;-98,7739291;"swd"
"5";1001186837;"15-007-10159";37,3571517;-98,8771708;"swd"
"7";1001186876;"15-007-10189";37,3500135;-98,8679166;"swd"
"16124";1044753884;"15-007-10227";37,4172883;-98,7439903;"swd"
"16129";1044755800;"15-007-10276";37,2095946;-98,6962872;"swd"
"13758";1041341196;"15-007-10363";37,0829195;-98,7713597;"swd"
"16315";1044864378;"15-007-10393";37,1108675;-98,5374939;"swd"
"16425";1044910623;"15-007-16674";37,1098304;-98,8636047;"swd"
"16460";1044922758;"15-007-16704";37,1442797;-98,6072887;"swd"
"15316";1044115660;"15-007-16712";37,0958234;-98,9002595;"swd"
"16065";1044643412;"15-007-19003";37,3628897;-98,8588666;"swd"
"16461";1044922760;"15-007-19004";37,1664517;-98,6442741;"swd"
"27";1001188549;"15-007-19019";37,0135398;-98,9038877;"swd"
"9340";1032690541;"15-007-19025";37,2381358;-98,4364953;"swd"
"12590";1037779209;"15-007-19036";37,02096;-98,56759;"swd"
"12759";1037995777;"15-007-19037";37,240523;-98,7866269;"swd"
"16156";1044762205;"15-007-19052";37,4685998;-98,8087735;"swd"
"16066";1044643415;"15-007-19070";37,3636007;-98,8690911;"swd"
"16043";1044633719;"15-007-19081";37,2609889;-98,9919067;"swd"
"16804";1045069199;"15-007-19121";37,1765168;-98,5650407;"swd"
"12662";1037888552;"15-007-20004";37,2591036;-98,7734185;"swd"
"16414";1044906237;"15-007-20012";37,1904547;-98,4701494;"swd"
"1";1001184206;"15-007-20013";37,4089925;-98,4754955;"swd"
"12404";1037337131;"15-007-20028";37,2089346;-98,6069483;"swd"
"15976";1044593385;"15-007-20032";37,2612847;-98,7964354;"swd"
"12046";1037029156;"15-007-20047";37,1846139;-98,4324045;"swd"
"11486";1036238218;"15-007-20081";37,11751;-98,4649;"swd"
"11858";1036806622;"15-007-20102";37,2554846;-98,6633339;"swd"
"12047";1037029158;"15-007-20103";37,3314464;-98,8885084;"swd"
"1581";1002885882;"15-007-20161";37,0501025;-98,5726496;"swd"
"8621";1031332596;"15-007-20171";37,2586146;-98,7699391;"swd"
"2";1001184375;"15-007-20184";37,2303621;-98,5202328;"swd"
"6627";1024491493;"15-007-20242";37,2084284;-98,3597676;"swd"
"16501";1044943274;"15-007-20259";37,2620807;-98,3517291;"swd"
"11836";1036762740;"15-007-20260";37,4541667;-98,8499233;"swd"
"12041";1037028664;"15-007-20296";37,203964;-98,918691;"swd"
"13349";1039408104;"15-007-20305";37,0159242;-98,8892236;"swd"
"16590";1044982946;"15-007-20331";37,1208111;-98,5510005;"swd"
